date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:57	1139/1139	---M--	200	added ('OK')	text/css	etag:%22d24fbf-473-57cf4e320df00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input.css	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:35:57	17604/17604	---M--	200	added ('OK')	text/css	etag:%22d250ed-44c4-57cf4e33f6380%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/select2/css/select2.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/select2/css/select2.css	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:35:57	15825/15825	---M--	200	added ('OK')	text/css	etag:%22d250ec-3dd1-57cf4e2c55180%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/select2/css/select2-bootstrap.min.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/select2/css/select2-bootstrap.min.css	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:35:59	5302/5302	---M--	200	added ('OK')	application/javascript	etag:%22d24f21-14b6-57cf4e37c6c80%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-inputmask/bootstrap-inputmask.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-inputmask/bootstrap-inputmask.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:35:59	94876/94876	---M--	200	added ('OK')	image/jpeg	etag:%22d24e94-1729c-57cf4e35de800%22	http://radixtouch.in/templates/admin/smart/source/assets/img/slider/owl6.jpg	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/img/slider/owl6.jpg	(from http://radixtouch.in/templates/admin/smart/source/light/ui_carousel.html)
11:35:59	212/212	---M--	200	added ('OK')	application/javascript	etag:%22d24eff-d4-57cf4e2a6cd00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker-init.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker-init.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:36:00	389114/389114	---M--	200	added ('OK')	image/jpeg	etag:%22d24e9b-5effa-57cf4e2e3d600%22	http://radixtouch.in/templates/admin/smart/source/assets/img/slider/slider2.jpg	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/img/slider/slider2.jpg	(from http://radixtouch.in/templates/admin/smart/source/light/widget.html)
11:36:00	935/935	---M--	200	added ('OK')	application/javascript	etag:%22d24f0b-3a7-57cf4e35de800%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-datetimepicker/js/bootstrap-datetimepicker-init.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-datetimepicker/js/bootstrap-datetimepicker-init.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:36:01	934/934	---M--	200	added ('OK')	application/javascript	etag:%22d24fbe-3a6-57cf4e35de800%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input-init.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input-init.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:36:01	6674/6674	---M--	200	added ('OK')	application/javascript	etag:%22d24fc0-1a12-57cf4e2a6cd00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jquery-tags-input/jquery-tags-input.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:36:02	838/838	---M--	200	added ('OK')	application/javascript	etag:%22d24edb-346-57cf4e3d7fa00%22	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/select2/select2-init.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/js/pages/select2/select2-init.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:36:02	58846/58846	---M-Z	200	added ('OK')	text/html	etag:%22d24c3b-e5de-595282abfda00-gzip%22	http://radixtouch.in/templates/admin/smart/source/light/wizard.html	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/light/wizard.html	(from http://radixtouch.in/templates/admin/smart/source/light/)
11:36:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jan%202020%2006:06:03%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/validation_form.html)
11:36:03	21034/21034	---M--	200	added ('OK')	text/css	etag:%22d24f11-522a-57cf4e2e3d600%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-editable/bootstrap-editable/css/bootstrap-editable.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-editable/bootstrap-editable/css/bootstrap-editable.css	(from http://radixtouch.in/templates/admin/smart/source/light/editable_form.html)
11:36:04	141/141	---M--	200	added ('OK')	text/css	etag:%22d24f1b-8d-57cf4e37c6c80%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-editable/inputs-ext/address/address.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-editable/inputs-ext/address/address.css	(from http://radixtouch.in/templates/admin/smart/source/light/editable_form.html)
11:36:04	38858/38858	---M--	200	added ('OK')	application/javascript	etag:%22d24f00-97ca-57cf4e3025a80%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-colorpicker/js/bootstrap-colorpicker.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:36:05	9249/9249	---M--	200	added ('OK')	text/css	etag:%22d24f45-2421-57cf4e2a6cd00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/buttons.dataTables.min.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/buttons.dataTables.min.css	(from http://radixtouch.in/templates/admin/smart/source/light/export_table.html)
11:36:08	18298/18298	---M--	200	added ('OK')	application/javascript	etag:%22d24f49-477a-57cf4e33f6380%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/dataTables.buttons.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/dataTables.buttons.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/export_table.html)
11:36:09	67974/67974	---M--	200	added ('OK')	application/javascript	etag:%22d24f0c-10986-57cf4e2e3d600%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-datetimepicker/js/bootstrap-datetimepicker.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/bootstrap-datetimepicker/js/bootstrap-datetimepicker.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:36:14	24036/24036	---M--	200	added ('OK')	application/javascript	etag:%22d24f47-5de4-57cf4e33f6380%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/buttons.html5.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/buttons.html5.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/export_table.html)
11:36:14	2091/2091	---M--	200	added ('OK')	application/javascript	etag:%22d24f48-82b-57cf4e37c6c80%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/buttons.print.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/buttons.print.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/export_table.html)
